,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,highestAchievedSeasonTier,role,lane
0,1,True,3146,3089,3157,3165,1082,3020,3363,18,11,7,6,3,4,262,5,1,0,0,0,163278,134117,11706,17454,0,37946,33914,2678,1354,9874,1,20541,1604,1604,16,4,32964,12984,18818,1162,16025,15000,1,0,149,8,8,0,28,16,2,0,10,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,2905,0,0,8143,1283,0,0,8138,30,0,0,8135,4251,5,0,9111,962,500,0,8014,996,0,0,8100,8000,5008,5008,5003,,SOLO,MIDDLE
1,2,True,3107,3117,3857,2055,3105,3050,3364,1,6,17,0,1,0,525,0,0,0,0,0,28690,14775,7534,6381,0,7000,4840,883,1276,2898,2,19103,2697,2519,66,29,18291,8785,8919,587,8704,8250,1,0,43,0,0,0,115,14,10,0,28,13,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,212,0,0,8446,1446,0,0,8473,426,0,0,8242,11,0,0,9111,1381,360,0,9105,17,10,0,8400,8000,5008,5002,5002,,DUO_SUPPORT,BOTTOM
2,3,True,3074,3078,1055,3111,3812,0,3340,6,3,13,4,2,1,796,1,0,0,0,0,193780,1734,170449,21595,668,29990,1184,23638,5166,10528,1,36235,9876,9876,19,16,36454,16255,16908,3291,14539,12658,5,2,219,15,0,11,142,18,3,0,13,1,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1549,0,0,9111,2163,380,0,9104,22,50,0,8014,559,0,0,8446,2339,0,0,8473,547,0,0,8000,8400,5005,5008,5003,,SOLO,TOP
3,4,True,3124,3031,3140,3042,3046,3006,3364,11,4,13,8,2,2,868,2,0,0,0,0,174193,17549,154100,2544,832,24778,5228,18273,1276,5034,3,10429,9266,8218,11,8,19679,8420,10739,520,15489,14550,2,1,197,36,24,9,95,16,0,0,5,0,True,False,True,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923,56,84,0,8139,786,0,0,8138,18,0,0,8135,2752,5,0,8009,5209,500,0,9103,26,0,0,8100,8000,5005,5008,5002,,DUO_CARRY,BOTTOM
4,5,True,1419,3124,3153,3111,1042,1031,3340,4,5,4,3,1,1,780,0,0,0,0,0,207286,5856,180856,20573,0,8729,353,6497,1878,10799,1,15846,36092,3810,26,2,26147,8274,17314,558,11833,11450,2,0,50,161,98,18,176,15,1,0,11,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,398,0,0,9111,447,160,0,9104,15,0,0,8014,217,0,0,8143,99,0,0,8135,5089,4,0,8000,8100,5005,5008,5002,,NONE,JUNGLE
5,6,False,3076,2033,3194,3068,1033,3047,3364,1,7,10,0,1,0,611,0,0,0,0,0,117819,95852,20095,1871,21,14720,12683,1862,175,10188,1,38099,3231,1206,18,52,31884,7542,19399,4943,9020,8900,0,0,164,0,0,0,457,15,4,0,4,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,708,0,0,8446,942,0,0,8444,1205,0,0,8453,770,0,0,8345,3,0,0,8352,304,1517,1012,8400,8300,5007,5002,5002,,SOLO,TOP
6,7,False,3042,3157,3047,3025,1055,0,3363,2,7,10,0,1,0,717,0,0,0,0,0,120183,25499,89047,5635,0,20179,7945,11735,497,3076,4,10369,5355,2330,20,6,18858,9133,8374,1350,10314,9575,1,0,156,4,4,0,221,14,3,0,11,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,2,20,0,9111,642,240,0,9104,16,40,0,8014,286,0,0,8313,0,0,0,8347,0,0,0,8000,8300,5007,5008,5002,,DUO_CARRY,BOTTOM
7,8,False,3905,2065,1052,3853,3111,3145,3364,4,8,13,0,1,0,388,0,0,0,0,0,48380,43012,4721,647,0,11885,9975,1263,647,8354,4,7814,385,72,63,32,21198,8737,10950,1510,9417,8035,0,0,40,0,0,0,237,14,9,0,34,6,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8351,22,0,0,8304,9,4,5,8345,3,0,0,8347,0,0,0,8226,250,824,0,8210,0,0,0,8300,8200,5007,5008,5002,,DUO_SUPPORT,BOTTOM
8,9,False,1416,3147,3091,3044,3814,3111,3364,12,9,6,3,1,3,341,0,0,0,0,0,170405,14069,148725,7609,0,23606,3164,18309,2132,10046,1,20044,16986,0,27,182,33904,10006,22564,1334,14086,13825,0,0,72,90,66,4,503,16,0,0,3,9,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,2,0,0,9111,864,360,0,9103,20,30,0,8014,706,0,0,8139,1205,0,0,8106,5,0,0,8000,8100,5005,5008,5002,,NONE,JUNGLE
9,10,False,3285,3089,1082,3165,3020,3108,3364,10,9,7,3,1,3,454,0,0,0,0,0,119915,99126,14111,6677,0,21389,18139,1897,1352,7497,1,11996,4012,2117,33,21,31802,12920,17068,1813,13362,13025,1,0,181,8,8,0,39,16,5,0,10,6,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,2004,0,0,8139,1359,0,0,8120,1,14,6,8135,3280,4,0,8345,3,0,0,8352,339,2147,1184,8100,8300,5008,5008,5003,,SOLO,MIDDLE
