,match_id,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald
0,{4366059781},1,Win,True,True,True,False,False,True
1,{4366059781},2,Fail,False,False,False,False,True,False
0,{4366059798},1,Fail,False,False,False,False,True,False
1,{4366059798},2,Win,True,True,False,False,False,True
0,{4366059814},1,Win,False,True,True,False,True,True
1,{4366059814},2,Fail,True,False,False,False,False,False
0,{4366059822},1,Fail,False,False,False,False,False,True
1,{4366059822},2,Win,True,True,True,True,True,False
0,{4366059865},1,Fail,False,False,False,False,False,False
1,{4366059865},2,Win,True,True,False,False,True,False
0,{4366059892},1,Win,True,True,True,False,True,False
1,{4366059892},2,Fail,False,False,False,False,False,False
0,{4366059918},1,Win,False,False,True,True,False,False
1,{4366059918},2,Fail,True,True,False,False,True,True
0,{4366059925},1,Win,False,False,True,False,False,False
1,{4366059925},2,Fail,True,True,False,False,True,True
0,{4366059934},1,Fail,False,False,False,False,False,False
1,{4366059934},2,Win,True,True,True,False,True,True
0,{4366059955},1,Win,True,False,True,False,True,False
1,{4366059955},2,Fail,False,True,False,False,False,True
0,{4366059956},1,Win,False,False,False,False,False,True
1,{4366059956},2,Fail,True,True,True,False,True,False
0,{4366059965},1,Win,False,False,True,False,False,False
1,{4366059965},2,Fail,True,True,False,True,True,True
0,{4366059966},1,Win,True,False,True,True,True,False
1,{4366059966},2,Fail,False,True,False,False,False,False
0,{4366059967},1,Win,False,True,True,True,True,False
1,{4366059967},2,Fail,True,False,False,False,False,True
0,{4366059970},1,Win,True,False,False,False,False,False
1,{4366059970},2,Fail,False,True,True,True,True,True
0,{4366059979},1,Win,True,True,True,True,True,True
1,{4366059979},2,Fail,False,False,False,False,False,False
0,{4366059980},1,Fail,True,False,False,False,False,False
1,{4366059980},2,Win,False,True,True,False,True,True
0,{4366059995},1,Win,False,True,False,True,True,True
1,{4366059995},2,Fail,True,False,True,False,False,False
0,{4366059996},1,Fail,True,False,False,False,False,False
1,{4366059996},2,Win,False,True,True,True,True,True
0,{4366069598},1,Fail,False,False,False,False,False,True
1,{4366069598},2,Win,True,True,True,True,True,False
0,{4366069639},1,Win,False,False,True,False,False,True
1,{4366069639},2,Fail,True,True,False,False,True,False
0,{4366069672},1,Win,True,True,False,False,True,True
1,{4366069672},2,Fail,False,False,False,False,False,False
0,{4366069675},1,Win,True,True,False,False,True,True
1,{4366069675},2,Fail,False,False,False,False,False,False
0,{4366069684},1,Fail,True,False,False,False,True,True
1,{4366069684},2,Win,False,True,True,False,False,False
0,{4366069692},1,Win,True,True,False,False,False,True
1,{4366069692},2,Fail,False,False,False,False,True,False
0,{4366069716},1,Fail,True,False,False,False,False,True
1,{4366069716},2,Win,False,True,True,False,True,False
0,{4366069717},1,Fail,False,False,False,False,True,False
1,{4366069717},2,Win,True,True,True,True,False,True
0,{4366069737},1,Win,True,True,True,False,True,True
1,{4366069737},2,Fail,False,False,False,False,False,False
0,{4366069738},1,Fail,False,False,False,False,False,True
1,{4366069738},2,Win,True,True,True,True,True,False
