,match_id,totalGold,level,xp,totalKills,totalDeaths,level_ups
0,4366059781,205374,420,207036,22,18,92
1,4366059781,191351,415,203735,18,22,90
0,4366059798,86179,210,86018,12,16,68
1,4366059798,96787,210,84440,16,12,68
0,4366059814,135641,292,129768,24,12,82
1,4366059814,120738,282,121264,12,24,80
0,4366059822,239376,500,259374,18,18,94
1,4366059822,257143,523,273665,18,18,100
0,4366059865,97756,249,103600,2,10,72
1,4366059865,101360,252,108860,10,2,76
0,4366059892,197752,361,166294,40,24,84
1,4366059892,167411,336,151160,24,40,80
0,4366059918,213519,450,229039,14,34,92
1,4366059918,242297,470,239319,34,14,96
0,4366059925,160938,370,177613,14,16,88
1,4366059925,171405,373,177085,16,14,86
0,4366059934,62195,166,58945,4,4,62
1,4366059934,71020,171,63878,4,4,60
0,4366059955,112577,250,104227,12,6,74
1,4366059955,96169,239,97997,6,12,70
0,4366059956,193094,466,234623,10,16,94
1,4366059956,205558,473,244288,16,10,96
0,4366059965,246550,559,302853,14,16,104
1,4366059965,264023,565,307336,16,14,106
0,4366059966,236553,423,199475,22,16,86
1,4366059966,213408,442,218719,16,22,96
0,4366059967,211762,479,244831,18,20,96
1,4366059967,212939,458,232405,20,18,94
0,4366059970,406208,775,455007,30,34,114
1,4366059970,429002,795,478096,34,30,120
0,4366059979,254720,468,240008,26,14,94
1,4366059979,198584,442,222793,14,26,92
0,4366059980,171732,366,169963,16,24,82
1,4366059980,174791,383,188443,24,16,90
0,4366059995,237484,470,242419,28,24,94
1,4366059995,228607,464,233243,24,28,92
0,4366059996,184954,409,198818,18,36,84
1,4366059996,204400,434,224656,36,18,96
0,4366069598,181163,374,177203,30,32,88
1,4366069598,181096,361,170537,32,30,86
0,4366069639,137581,335,156366,14,14,86
1,4366069639,149500,344,166676,14,14,86
0,4366069672,64511,154,57223,16,4,66
1,4366069672,52694,141,48847,4,16,56
0,4366069675,60493,146,53492,8,4,60
1,4366069675,54778,144,48536,4,8,58
0,4366069684,82218,202,78061,4,2,64
1,4366069684,77472,198,78590,2,4,66
0,4366069692,45027,112,35783,8,6,52
1,4366069692,48422,112,37214,6,8,50
0,4366069716,137688,327,145680,10,14,80
1,4366069716,136581,331,153645,14,10,86
0,4366069717,117062,282,123428,12,14,78
1,4366069717,123823,285,124969,14,12,74
0,4366069737,94474,214,88606,18,8,70
1,4366069737,78922,200,77055,8,18,66
0,4366069738,359245,737,434557,36,40,114
1,4366069738,395567,762,458062,40,36,118
0,4366069750,74724,176,66324,10,2,66
1,4366069750,63116,166,61144,2,10,58
0,4366069764,227586,491,251107,24,38,96
1,4366069764,277746,527,279206,38,24,98
0,4366069776,189389,382,189060,32,22,90
1,4366069776,173770,375,181222,22,32,88
0,4366069785,233802,472,242230,22,18,96
1,4366069785,221156,466,240385,18,22,98
0,4366069787,414477,772,447108,28,40,110
1,4366069787,389778,741,426836,40,28,114
0,4366069791,243926,461,232028,32,26,96
1,4366069791,230678,441,218566,26,32,92
0,4366069798,190764,450,221382,12,22,88
1,4366069798,212746,468,241768,22,12,96
0,4366069801,212909,466,241623,12,18,96
1,4366069801,214873,461,233671,18,12,96
0,4366069802,132377,322,144979,6,22,78
1,4366069802,152650,333,153328,22,6,84
0,4366069806,41308,104,30439,2,22,48
1,4366069806,56165,118,38235,22,2,54
0,4366069807,356505,635,362708,46,30,114
1,4366069807,309998,631,350603,30,46,110
0,4366069822,235203,433,216681,46,20,96
1,4366069822,188854,408,194430,20,46,90
0,4366069831,127908,292,130223,14,16,80
1,4366069831,118853,293,128977,16,14,80
0,4366069838,263851,550,292956,16,16,98
1,4366069838,257558,548,290399,16,16,96
0,4366069849,68857,178,68003,6,10,64
1,4366069849,70870,182,70393,10,6,68
0,4366069853,275961,516,276093,32,20,100
1,4366069853,243232,492,256388,20,32,96
0,4366069857,297523,586,328892,28,22,108
1,4366069857,279768,574,310448,22,28,108
0,4366069862,190150,395,187064,18,18,84
1,4366069862,181132,400,192729,18,18,84
0,4366069864,387791,715,410414,34,24,114
1,4366069864,370176,730,419176,24,34,112
0,4366069866,291409,605,330935,18,34,104
1,4366069866,342218,630,349723,34,18,104
0,4366069880,136164,316,140570,12,10,82
1,4366069880,123842,295,129961,10,12,74
0,4366069885,94966,209,83775,22,8,70
1,4366069885,83239,208,81165,8,22,68
0,4366069886,84347,214,84948,12,22,70
1,4366069886,97183,207,83038,22,12,68
0,4366069888,279094,546,292675,32,16,102
1,4366069888,273955,556,294112,16,32,98
0,4366069890,43828,112,35573,2,10,50
1,4366069890,48071,120,39662,10,2,56
0,4366069896,138936,298,137543,22,14,80
1,4366069896,121427,282,123434,14,22,76
0,4366069897,154458,359,164562,4,10,82
1,4366069897,164351,373,177141,10,4,86
0,4366069904,74835,169,61811,16,2,64
1,4366069904,62742,160,57517,2,16,58
0,4366069931,146460,319,146477,20,22,82
1,4366069931,154276,324,149806,22,20,78
0,4366069932,202277,422,210407,26,28,92
1,4366069932,197880,413,207640,28,26,94
0,4366069944,235020,425,212597,46,18,90
1,4366069944,177542,381,174668,18,46,82
0,4366069948,192328,382,186320,32,24,90
1,4366069948,180029,371,180161,24,32,88
0,4366069951,211956,464,233176,18,14,94
1,4366069951,199416,453,224542,14,18,92
0,4366069968,263165,519,274367,22,30,96
1,4366069968,251622,504,262256,30,22,96
0,4366069978,134356,317,141002,8,40,74
1,4366069978,171658,343,163873,40,8,88
0,4366069981,141367,327,149212,18,8,84
1,4366069981,132251,310,137272,8,18,74
0,4366069986,100217,251,105461,12,10,76
1,4366069986,104785,255,106531,10,12,76
0,4366069992,75650,203,77162,4,18,66
1,4366069992,92058,207,82824,18,4,72
0,4366069995,318287,589,311401,34,26,100
1,4366069995,292647,576,306006,26,34,100
0,4366079389,206737,402,190448,28,20,92
1,4366079389,206001,415,205011,20,28,90
0,4366079415,69678,172,63507,8,24,58
1,4366079415,88525,170,66660,24,8,64
0,4366079424,221690,449,225837,24,38,90
1,4366079424,239228,473,244803,38,24,100
0,4366079443,279429,562,303359,24,34,100
1,4366079443,285994,571,312475,34,24,104
0,4366079455,228503,466,236254,32,30,94
1,4366079455,222786,459,232588,30,32,96
0,4366079492,239284,496,253284,26,32,96
1,4366079492,264445,512,267126,32,26,102
0,4366079497,132596,327,151107,16,18,84
1,4366079497,153660,335,156716,18,16,80
0,4366079500,116526,243,103564,22,12,72
1,4366079500,104783,245,100164,12,22,72
0,4366079533,229675,451,222236,28,36,92
1,4366079533,249634,461,234715,36,28,96
0,4366079547,191939,424,210691,18,10,94
1,4366079547,186963,413,202221,10,18,88
0,4366079552,173202,380,181865,24,8,86
1,4366079552,148513,364,166880,8,24,82
0,4366079557,56513,135,46592,4,4,56
1,4366079557,54399,133,44212,4,4,56
0,4366079562,221455,474,242284,22,24,96
1,4366079562,214244,468,239532,24,22,94
0,4366079574,75425,182,70974,10,8,62
1,4366079574,65240,169,61022,8,10,60
0,4366079576,61212,137,46943,8,12,56
1,4366079576,58778,133,45486,12,8,54
0,4366079580,139971,311,138571,16,26,78
1,4366079580,153964,327,156863,26,16,86
0,4366079589,51422,131,44952,0,18,48
1,4366079589,64820,144,51508,18,0,64
0,4366079590,169479,380,183741,22,28,90
1,4366079590,185617,373,179309,28,22,86
0,4366079606,96530,207,82292,14,22,66
1,4366079606,97364,214,86845,22,14,70
0,4366079609,204437,435,222473,14,6,94
1,4366079609,193004,432,217581,6,14,102
0,4366079614,356543,681,394489,38,36,112
1,4366079614,330597,677,385270,36,38,110
0,4366079615,118619,287,127066,10,18,80
1,4366079615,125227,294,131698,18,10,80
0,4366079617,80979,194,74313,6,18,62
1,4366079617,92168,213,87331,18,6,70
0,4366079618,105405,240,98648,14,16,68
1,4366079618,103440,255,108016,16,14,76
0,4366079624,146028,328,150263,20,16,84
1,4366079624,145362,326,148386,16,20,80
0,4366079637,179077,390,189822,18,14,90
1,4366079637,153152,365,175020,14,18,88
0,4366079642,146475,332,150374,12,2,84
1,4366079642,132829,326,148917,2,12,80
0,4366079645,197648,429,218562,26,28,96
1,4366079645,203080,426,213897,28,26,90
0,4366079650,73213,178,67925,8,8,64
1,4366079650,71626,180,67467,8,8,64
0,4366079661,210652,457,230981,20,16,92
1,4366079661,212777,472,242346,16,20,94
0,4366079674,139627,328,152091,18,16,84
1,4366079674,144435,328,151962,16,18,82
0,4366079675,94483,218,89596,16,10,70
1,4366079675,91322,217,88979,10,16,70
0,4366079679,250881,499,258503,22,24,98
1,4366079679,263814,503,262950,24,22,96
0,4366079680,218663,481,254962,34,22,98
1,4366079680,227929,463,233072,22,34,96
0,4366079681,239632,482,253481,32,30,100
1,4366079681,225626,478,247610,30,32,98
0,4366079682,80329,208,82866,2,10,68
1,4366079682,91427,209,83774,10,2,68
0,4366079696,68271,172,63710,6,18,60
1,4366079696,77701,182,70222,18,6,66
0,4366079697,124952,322,145225,6,24,78
1,4366079697,148992,340,161375,24,6,88
0,4366079699,223330,488,257713,26,18,100
1,4366079699,208295,452,221492,18,26,94
0,4366079703,189298,413,206414,28,16,90
1,4366079703,195945,419,207183,16,28,88
0,4366079705,187416,420,210771,16,4,98
1,4366079705,169144,408,195200,4,16,88
0,4366079706,93625,212,85065,14,4,70
1,4366079706,79292,201,78335,4,14,66
0,4366079709,169763,374,177786,16,22,88
1,4366079709,160316,380,184534,22,16,90
0,4366079710,141247,294,133664,18,12,78
1,4366079710,116765,268,112048,12,18,74
0,4366079711,75544,175,64749,10,8,62
1,4366079711,71768,176,65962,8,10,62
0,4366079714,109222,252,109152,14,12,74
1,4366079714,104631,243,102718,12,14,72
0,4366079719,178837,376,180916,26,20,88
1,4366079719,174960,379,187749,20,26,90
0,4366079730,280144,569,312903,40,26,108
1,4366079730,276922,547,287008,26,40,100
0,4366079731,71752,176,65537,6,6,64
1,4366079731,69810,174,65432,6,6,62
0,4366079734,80443,200,77812,6,18,64
1,4366079734,103124,218,91036,18,6,72
0,4366079736,281821,545,291122,28,32,100
1,4366079736,312801,566,310003,32,28,102
0,4366079739,135031,330,152150,8,8,86
1,4366079739,141756,331,150553,8,8,84
0,4366079743,270747,519,275484,38,34,102
1,4366079743,248993,509,265175,34,38,102
0,4366079744,238786,460,236136,22,18,94
1,4366079744,204047,447,223963,18,22,92
0,4366079752,138779,322,145888,16,32,80
1,4366079752,174774,345,165632,32,16,88
0,4366079753,96375,216,89307,18,12,72
1,4366079753,92641,214,85198,12,18,68
0,4366079758,302530,602,333034,24,14,102
1,4366079758,286237,606,325578,14,24,102
0,4366079761,44488,112,35755,4,4,50
1,4366079761,45382,108,35731,4,4,52
0,4366079779,109958,266,111568,10,20,72
1,4366079779,130198,294,132268,20,10,80
0,4366079784,117272,280,120377,10,32,76
1,4366079784,148151,294,134950,32,10,86
0,4366079785,215386,465,240282,18,30,100
1,4366079785,230760,472,246497,30,18,96
0,4366079788,236951,461,234006,30,46,94
1,4366079788,271416,474,245235,46,30,96
0,4366079794,160877,372,177046,8,24,84
1,4366079794,173353,378,183882,24,8,92
0,4366079799,137829,320,143050,10,16,82
1,4366079799,152806,327,152700,16,10,82
0,4366079805,175995,376,180070,20,18,88
1,4366079805,162255,367,172345,18,20,84
0,4366079809,203349,476,245266,8,14,98
1,4366079809,202839,471,242266,14,8,94
0,4366079822,547921,990,612352,28,38,118
1,4366079822,521798,1022,646903,38,28,128
0,4366079823,43672,112,34797,4,4,52
1,4366079823,46174,116,36418,4,4,52
0,4366079824,209310,448,228611,22,10,100
1,4366079824,189370,428,213283,10,22,88
0,4366079826,82048,204,80516,8,16,68
1,4366079826,95069,212,85836,16,8,68
0,4366079832,173506,373,178227,12,12,84
1,4366079832,166519,380,180462,12,12,88
0,4366079837,50352,116,39108,12,0,54
1,4366079837,42618,114,36826,0,12,52
0,4366079838,247999,515,268566,30,26,96
1,4366079838,263324,514,269392,26,30,100
0,4366079845,81109,205,80484,2,14,66
1,4366079845,91388,218,88399,14,2,72
0,4366079850,194065,418,203840,16,16,90
1,4366079850,182128,406,198687,16,16,90
0,4366079853,265886,550,288623,22,24,96
1,4366079853,263824,563,299914,24,22,100
0,4366079857,150479,325,147629,30,30,82
1,4366079857,157812,318,141719,30,30,78
0,4366079858,110149,284,122005,4,10,76
1,4366079858,121653,290,130217,10,4,80
0,4366079870,108542,255,109952,12,20,74
1,4366079870,109963,259,111528,20,12,76
0,4366079871,211331,413,204710,36,20,92
1,4366079871,170236,383,177714,20,36,88
0,4366079873,128938,271,113945,16,48,74
1,4366079873,166340,295,134904,48,16,86
0,4366079878,274564,539,283089,24,34,98
1,4366079878,256323,551,291777,34,24,100
0,4366079882,159112,345,166134,36,8,88
1,4366079882,131561,318,140017,8,36,78
0,4366079885,343847,736,428232,18,24,114
1,4366079885,372460,728,428649,24,18,114
0,4366079886,207619,464,234674,18,16,98
1,4366079886,209581,474,243215,16,18,94
0,4366079892,374976,767,445773,24,34,108
1,4366079892,386257,788,470529,34,24,114
0,4366079903,167769,369,173806,12,18,86
1,4366079903,175577,380,181395,18,12,88
0,4366079913,153080,368,175100,14,16,88
1,4366079913,166660,372,180444,16,14,88
0,4366079921,169275,360,170708,26,12,84
1,4366079921,158582,364,168326,12,26,82
0,4366079922,112282,251,109338,20,14,78
1,4366079922,107685,247,102807,14,20,72
0,4366079926,161840,333,153173,18,34,82
1,4366079926,170778,331,153757,34,18,86
0,4366079927,209786,428,217181,30,16,92
1,4366079927,177423,404,192820,16,30,88
0,4366079928,148800,293,131479,40,6,80
1,4366079928,106396,270,112414,6,40,74
0,4366079932,194087,446,222295,12,26,92
1,4366079932,228905,465,236672,26,12,98
0,4366079936,315208,633,354276,32,38,110
1,4366079936,342105,626,355723,38,32,108
0,4366079945,189211,412,202895,20,16,92
1,4366079945,187972,422,214741,16,20,92
0,4366079947,111549,249,106297,16,24,72
1,4366079947,119362,259,111975,24,16,76
0,4366079949,135430,296,134963,18,8,82
1,4366079949,121616,281,120566,8,18,76
0,4366079955,59222,146,48856,4,22,54
1,4366079955,99122,182,70113,22,4,64
0,4366079957,350012,580,316804,68,38,106
1,4366079957,261979,482,241431,38,68,86
0,4366079962,216033,408,201898,26,32,92
1,4366079962,205888,412,205157,32,26,92
0,4366079966,265305,542,285084,36,34,100
1,4366079966,315402,558,296001,34,36,96
0,4366079970,109969,268,113121,6,24,76
1,4366079970,135482,286,127048,24,6,78
0,4366079971,5000,10,40,0,0,2
1,4366079971,5000,10,0,0,0,4
0,4366079974,5030,10,46,0,0,4
1,4366079974,5000,10,0,0,0,2
0,4366079975,127210,305,139809,24,12,86
1,4366079975,118002,287,125713,12,24,80
0,4366079981,248337,519,274775,14,16,100
