,match_id,totalGold,level,xp,totalKills,totalDeaths,level_ups
0,3414942202,88596,203,78992,8,14,64
1,3414942202,94726,211,84418,14,8,70
0,3414942228,147820,305,145634,26,8,84
1,3414942228,108515,271,114275,8,26,74
0,3414942276,278633,566,299962,28,24,100
1,3414942276,266684,541,280528,24,28,98
0,3414942292,74504,180,68307,18,6,68
1,3414942292,73507,169,62262,6,18,58
0,3414942297,138715,273,117622,28,22,74
1,3414942297,125607,265,111829,22,28,74
0,3414942300,148144,329,152875,18,18,82
1,3414942300,156635,338,161252,18,18,82
0,3414942304,204770,463,237141,22,24,94
1,3414942304,218918,463,231124,24,22,96
0,3414942331,84242,209,85028,8,14,70
1,3414942331,94651,219,89385,14,8,72
0,3414942344,117582,248,107238,18,20,76
1,3414942344,113491,240,102853,20,18,72
0,3414942350,140142,300,137822,14,10,80
1,3414942350,116676,277,120017,10,14,74
0,3414942356,264669,561,297263,20,26,98
1,3414942356,275683,578,317626,26,20,100
0,3414942359,128855,314,140653,10,28,78
1,3414942359,150799,324,148372,28,10,86
0,3414942365,114591,284,125403,10,24,76
1,3414942365,133833,301,136502,24,10,80
0,3414942383,100072,233,94974,16,26,74
1,3414942383,119898,251,109136,26,16,78
0,3414942386,150089,334,153938,24,18,84
1,3414942386,146754,321,145128,18,24,80
0,3414942387,272088,606,331635,18,22,102
1,3414942387,302991,626,351400,22,18,106
0,3414942399,126428,255,109957,32,6,74
1,3414942399,95567,225,90026,6,32,64
0,3414942400,290171,625,347348,26,26,106
1,3414942400,293868,629,351615,26,26,106
0,3414942403,77669,182,71383,14,14,68
1,3414942403,70064,175,65708,14,14,64
0,3414942424,345172,616,346478,40,24,104
1,3414942424,307301,579,303685,24,40,94
0,3414942426,214183,461,233955,12,26,94
1,3414942426,235101,485,257884,26,12,102
0,3414942427,183145,412,202517,20,28,90
1,3414942427,201041,432,216472,28,20,92
0,3414942428,290014,599,322745,30,20,102
1,3414942428,273497,586,306205,20,30,98
0,3414942432,97995,220,91834,18,2,72
1,3414942432,75700,201,77299,2,18,64
0,3414942438,103704,237,95944,8,4,72
1,3414942438,93107,231,91394,4,8,68
0,3414942442,221514,449,223420,24,30,92
1,3414942442,222633,452,223854,30,24,98
