,match_id,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald
0,{3414942202},1,Fail,False,False,False,False,False,False
1,{3414942202},2,Win,True,True,False,False,True,True
0,{3414942228},1,Win,True,True,True,True,True,True
1,{3414942228},2,Fail,False,False,False,False,False,False
0,{3414942276},1,Fail,False,True,False,False,True,False
1,{3414942276},2,Win,True,False,True,False,False,False
0,{3414942292},1,Win,False,True,True,False,False,True
1,{3414942292},2,Fail,True,False,False,False,True,False
0,{3414942297},1,Win,True,True,True,True,False,False
1,{3414942297},2,Fail,False,False,False,False,True,True
0,{3414942300},1,Fail,True,False,False,False,True,False
1,{3414942300},2,Win,False,True,True,False,False,True
0,{3414942304},1,Win,True,False,True,True,False,True
1,{3414942304},2,Fail,False,True,False,False,True,False
0,{3414942331},1,Win,False,False,False,False,True,True
1,{3414942331},2,Fail,True,True,False,False,False,False
0,{3414942344},1,Win,True,True,True,True,True,False
1,{3414942344},2,Fail,False,False,False,False,False,True
0,{3414942350},1,Win,True,True,True,True,True,True
1,{3414942350},2,Fail,False,False,False,False,False,False
0,{3414942356},1,Win,True,False,False,True,True,False
1,{3414942356},2,Fail,False,True,True,False,False,True
0,{3414942359},1,Fail,False,False,False,False,False,False
1,{3414942359},2,Win,True,True,True,True,True,True
0,{3414942365},1,Fail,False,False,False,False,False,False
1,{3414942365},2,Win,True,True,True,True,True,True
0,{3414942383},1,Fail,False,False,False,False,False,False
1,{3414942383},2,Win,True,True,True,False,True,True
0,{3414942386},1,Win,False,True,True,True,False,False
1,{3414942386},2,Fail,True,False,False,False,True,True
0,{3414942387},1,Fail,False,True,True,False,False,False
1,{3414942387},2,Win,True,False,False,True,True,True
0,{3414942399},1,Win,True,True,True,False,False,False
1,{3414942399},2,Fail,False,False,False,False,True,True
0,{3414942400},1,Fail,True,False,False,False,True,False
1,{3414942400},2,Win,False,True,True,True,False,True
0,{3414942403},1,Win,True,True,False,False,True,True
1,{3414942403},2,Fail,False,False,False,False,False,False
0,{3414942424},1,Fail,False,True,True,False,False,True
1,{3414942424},2,Win,True,False,False,True,True,False
0,{3414942426},1,Fail,False,False,False,False,False,False
1,{3414942426},2,Win,True,True,True,True,True,True
0,{3414942427},1,Fail,False,False,False,True,False,True
1,{3414942427},2,Win,True,True,True,False,True,False
0,{3414942428},1,Win,True,False,False,True,False,False
1,{3414942428},2,Fail,False,True,True,False,True,True
0,{3414942432},1,Win,True,True,True,False,True,True
1,{3414942432},2,Fail,False,False,False,False,False,False
0,{3414942438},1,Win,True,True,False,False,True,True
1,{3414942438},2,Fail,False,False,False,False,False,False
0,{3414942442},1,Win,True,True,True,True,False,False
1,{3414942442},2,Fail,False,False,False,False,True,True
0,{3414942445},1,Fail,False,True,False,True,False,False
1,{3414942445},2,Win,True,False,True,False,True,True
0,{3414942456},1,Win,True,True,True,False,False,False
1,{3414942456},2,Fail,False,False,False,False,True,False
0,{3414942461},1,Win,True,True,False,False,False,True
1,{3414942461},2,Fail,False,False,False,False,True,False
0,{3414942463},1,Win,True,False,True,True,False,False
1,{3414942463},2,Fail,False,True,False,False,True,True
0,{3414942469},1,Fail,False,False,False,False,False,False
1,{3414942469},2,Win,True,True,True,False,True,True
0,{3414942486},1,Win,True,True,False,False,True,False
1,{3414942486},2,Fail,False,False,False,False,False,True
0,{3414942488},1,Fail,False,False,False,False,True,False
1,{3414942488},2,Win,True,True,True,False,False,True
0,{3414942492},1,Fail,False,False,False,False,True,True
1,{3414942492},2,Win,True,True,False,False,False,False
0,{3414942496},1,Win,False,True,True,False,True,False
1,{3414942496},2,Fail,True,False,False,False,False,True
0,{3414942509},1,Fail,True,False,False,False,True,False
1,{3414942509},2,Win,False,True,True,False,False,True
0,{3414942510},1,Fail,True,True,False,False,True,True
1,{3414942510},2,Win,False,False,True,True,False,False
0,{3414942511},1,Fail,True,False,False,False,False,False
1,{3414942511},2,Win,False,True,True,False,True,True
0,{3414942514},1,Win,False,False,True,True,True,False
1,{3414942514},2,Fail,True,True,False,False,False,True
0,{3414942517},1,Win,True,False,True,True,True,True
1,{3414942517},2,Fail,False,True,False,False,False,False
0,{3414942521},1,Fail,True,False,False,False,False,False
1,{3414942521},2,Win,False,True,True,True,True,True
0,{3414942527},1,Win,False,True,True,False,True,False
1,{3414942527},2,Fail,True,False,False,False,False,True
0,{3414942542},1,Fail,True,True,False,False,False,True
1,{3414942542},2,Win,False,False,True,True,True,False
0,{3414942544},1,Win,False,True,True,True,False,False
1,{3414942544},2,Fail,True,False,False,False,True,True
0,{3414942549},1,Win,True,True,True,True,False,True
1,{3414942549},2,Fail,False,False,False,False,True,False
0,{3414942568},1,Fail,True,False,False,False,False,False
1,{3414942568},2,Win,False,True,True,True,True,True
0,{3414942571},1,Fail,True,False,False,False,False,False
1,{3414942571},2,Win,False,True,True,True,True,True
0,{3414942572},1,Win,False,False,False,False,True,False
1,{3414942572},2,Fail,True,True,False,False,False,True
0,{3414942598},1,Fail,True,False,True,False,True,True
1,{3414942598},2,Win,False,True,False,True,False,False
0,{3414942599},1,Win,True,False,True,False,False,False
1,{3414942599},2,Fail,False,True,False,False,True,True
0,{3414942607},1,Fail,False,False,False,False,True,False
1,{3414942607},2,Win,True,True,True,False,False,True
0,{3414942615},1,Win,True,True,True,True,False,True
1,{3414942615},2,Fail,False,False,False,False,True,False
0,{3414942617},1,Fail,False,False,False,False,False,False
1,{3414942617},2,Win,True,True,True,True,True,True
0,{3414942623},1,Win,True,False,True,True,False,False
1,{3414942623},2,Fail,False,True,False,False,True,True
0,{3414942624},1,Win,True,True,True,False,True,True
1,{3414942624},2,Fail,False,False,False,False,False,False
0,{3414942638},1,Win,True,False,True,True,True,False
1,{3414942638},2,Fail,False,True,False,False,False,True
0,{3414942653},1,Win,False,True,True,True,False,False
1,{3414942653},2,Fail,True,False,False,False,True,True
0,{3414942662},1,Win,True,True,True,False,False,True
1,{3414942662},2,Fail,False,False,False,False,True,False
0,{3414942674},1,Win,False,True,True,False,True,True
1,{3414942674},2,Fail,True,False,False,False,False,False
0,{3414942687},1,Fail,False,False,False,False,False,False
1,{3414942687},2,Win,True,True,False,True,True,False
0,{3414942690},1,Win,False,True,True,True,False,True
1,{3414942690},2,Fail,True,False,False,False,True,False
0,{3414942697},1,Win,True,False,True,True,True,False
1,{3414942697},2,Fail,False,True,False,False,False,True
0,{3414942733},1,Win,False,True,True,False,False,True
1,{3414942733},2,Fail,True,False,False,False,True,False
0,{3414942742},1,Fail,True,False,False,False,False,False
1,{3414942742},2,Win,False,True,True,True,True,True
0,{3414942748},1,Win,False,False,False,True,True,False
1,{3414942748},2,Fail,True,True,True,False,False,True
0,{3414942752},1,Win,True,False,True,True,False,True
1,{3414942752},2,Fail,False,True,False,False,True,False
0,{3414942756},1,Fail,True,False,False,False,False,False
1,{3414942756},2,Win,False,True,True,False,True,True
0,{3414942781},1,Win,False,True,True,False,True,True
1,{3414942781},2,Fail,True,False,False,False,False,False
0,{3414942789},1,Win,True,True,True,False,True,True
1,{3414942789},2,Fail,False,False,False,True,False,False
0,{3414942790},1,Fail,True,False,False,False,False,False
1,{3414942790},2,Win,False,True,True,False,True,True
0,{3414942804},1,Fail,False,True,False,False,True,True
1,{3414942804},2,Win,True,False,False,False,False,False
0,{3414942810},1,Fail,False,False,False,True,True,False
1,{3414942810},2,Win,True,True,True,False,False,True
0,{3414942849},1,Win,False,False,True,True,False,True
1,{3414942849},2,Fail,True,True,False,False,True,False
0,{3414942853},1,Win,True,True,True,False,True,True
1,{3414942853},2,Fail,False,False,False,False,False,False
0,{3414942859},1,Win,False,True,True,False,False,False
